2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 70 - loglikelihood=-14.216511665578599	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 71 - loglikelihood=-14.21413362118261	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 72 - loglikelihood=-14.2118211467153	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 73 - loglikelihood=-14.209571567029169	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 74 - loglikelihood=-14.207382350550862	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 75 - loglikelihood=-14.205251099776481	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 76 - loglikelihood=-14.203175542512055	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 77 - loglikelihood=-14.201153523791978	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 78 - loglikelihood=-14.19918299841495	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 79 - loglikelihood=-14.197262024043011	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 80 - loglikelihood=-14.195388754814813	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 81 - loglikelihood=-14.193561435428894	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 82 - loglikelihood=-14.191778395657131	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 83 - loglikelihood=-14.190038045252326	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 84 - loglikelihood=-14.188338869217212	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 85 - loglikelihood=-14.186679423405447	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 86 - loglikelihood=-14.18505833042753	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 87 - loglikelihood=-14.183474275837451	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 88 - loglikelihood=-14.181926004577768	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 89 - loglikelihood=-14.180412317662906	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 90 - loglikelihood=-14.17893206908231	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 91 - loglikelihood=-14.177484162906586	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 92 - loglikelihood=-14.176067550581315	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 93 - loglikelihood=-14.17468122839444	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 94 - loglikelihood=-14.173324235104442	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 95 - loglikelihood=-14.171995649717456	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 96 - loglikelihood=-14.17069458940257	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 97 - loglikelihood=-14.16942020753539	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 98 - loglikelihood=-14.168171691860703	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 99 - loglikelihood=-14.166948262765935	0.4166666666666667
2026-06-27 12:30:42 [main] INFO  opennlp.tools.ml.maxent.GISTrainer - 100 - loglikelihood=-14.165749171657653	0.4166666666666667
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Indexing events with TwoPass using cutoff of 5
2026-06-27 12:30:43 [main] INFO  o.tools.ml.model.TwoPassDataIndexer - Computing event counts...
